Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,industry,Summary Quote
DDD,3D Systems Corporation,41.41,2362027393.84,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ddd
MMM,3M Company,88.94,61540367865.32,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mmm
SVN,7 Days Group Holdings Limited,11.81,590232042.91,n/a,2009,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/svn
AHC,A.H. Belo Corporation,4.73,103982924.65,n/a,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/ahc
AIR,AAR Corp.,14.69,586721934.63,n/a,n/a,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/air
AAN,"Aaron&#39;s,  Inc.",28.95,2188722685.65,n/a,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aan
ABB,ABB Ltd,18.28,41923041623.88,n/a,n/a,Consumer Durables,Electrical Products,http://www.nasdaq.com/symbol/abb
ABT,Abbott Laboratories,63.33,100103687784.21,n/a,n/a,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abt
ANF,Abercrombie & Fitch Company,43.71,3609255558.15,n/a,1996,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/anf
ABM,ABM Industries Incorporated,18.69,1013533543.26,n/a,n/a,Finance,Diversified Commercial Services,http://www.nasdaq.com/symbol/abm
AKR,Acadia Realty Trust,24.83,1258111741.77,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/akr
ACN,Accenture plc.,67.56,45933279423.48,n/a,1986,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/acn
ACMP,"Access Midstream Partmers, L.P.",35.09,5193289822.6,n/a,n/a,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/acmp
ACCO,Acco Brands Corporation,6.89,779347074.87,n/a,n/a,Consumer Durables,Publishing,http://www.nasdaq.com/symbol/acco
AH,"Accretive Health, Inc.",11.35,1103978611.3,n/a,2010,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/ah
ACW,Accuride Corporation New,2.51,118937138.14,n/a,2005,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/acw
ACE,Ace Limited,78.72,26749709061.12,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ace
ATV,"Acorn International, Inc.",2.65,79445924.1,n/a,2007,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/atv
ATU,Actuant Corporation,27.37,1994736000.6,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/atu
AYI,Acuity Brands Inc,64.16,2721965544,n/a,n/a,Consumer Durables,Building Products,http://www.nasdaq.com/symbol/ayi
ADX,Adams Express Company (The),10.42,949327833.56,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adx
AGRO,Adecoagro S.A.,8.95,1093845327.25,n/a,1994,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/agro
PVD,"Administradora de Fondos de Pensiones-Provida, S.A.",105.5,2330260157,n/a,1994,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/pvd
ADT,ADT Corporation,42.66,9805877256.24,n/a,n/a,Consumer Services,Diversified Commercial Services,http://www.nasdaq.com/symbol/adt
AAP,Advance Auto Parts Inc,77.93,5717262053.03,n/a,1993,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/aap
AMD,"Advanced Micro Devices, Inc.",1.87,1331342399.09,n/a,1972,Technology,Semiconductors,http://www.nasdaq.com/symbol/amd
ASX,"Advanced Semiconductor Engineering, Inc.",3.83,5814180033.76,n/a,1996,Technology,Semiconductors,http://www.nasdaq.com/symbol/asx
AAV,Advantage Oil & Gas Ltd,3.35,564082507.3,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/aav
ATE,Advantest Corporation (Kabushiki Kaisha Advantest) ADS,12.76,2210942808.8,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/ate
AVK,Advent Claymore Convertible Securities and Income Fund,15.9,374935944.3,n/a,2003,n/a,n/a,http://www.nasdaq.com/symbol/avk
AGC,Advent Claymore Convertible Securities and Income Fund II,6.35,204728572,n/a,2007,n/a,n/a,http://www.nasdaq.com/symbol/agc
LCM,Advent/Claymore Enhanced Growth & Income Fund,9.11,123923557.75,n/a,2005,n/a,n/a,http://www.nasdaq.com/symbol/lcm
ACM,Aecom Technology Corporation,21.52,2433414888,n/a,2007,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/acm
ANW,Aegean Marine Petroleum Network Inc.,4.88,227336747.12,n/a,2006,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/anw
AEB,Aegon NV,23.48,0,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeb
AED,Aegon NV,25.15,0,n/a,1995,Finance,Life Insurance,http://www.nasdaq.com/symbol/aed
AEF,Aegon NV,25.4298,0,n/a,1990,Finance,Life Insurance,http://www.nasdaq.com/symbol/aef
AEG,Aegon NV,5.47,10445807658.97,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeg
AEH,Aegon NV,25.57,0,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeh
AEK,Aegon NV,27.91,0,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aek
AEV,Aegon NV,25.27,0,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aev
AER,Aercap Holdings N.V.,12.4,1506691933.6,n/a,2006,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aer
ARX,Aeroflex Holding Corp.,6.1,517596394.8,n/a,2010,Technology,Semiconductors,http://www.nasdaq.com/symbol/arx
ARO,Aeropostale Inc,13.92,1131234398.88,n/a,2002,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/aro
AET,Aetna Inc.,42.16,14102520000,n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aet
AFM,"Affiliated Managers Group, Inc.",25.3,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afm
AMG,"Affiliated Managers Group, Inc.",126.74,6565311083.62,n/a,1997,Finance,Investment Managers,http://www.nasdaq.com/symbol/amg
MGR,"Affiliated Managers Group, Inc.",25.61,0,n/a,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/mgr
AFL,Aflac Incorporated,51.23,24022101152.99,n/a,n/a,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/afl
AFSD,Aflac Incorporated,25.53,0,n/a,n/a,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/afsd
MITT,"AG Mortgage Investment Trust, Inc.",23,531890962,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mitt
MITT^A,"AG Mortgage Investment Trust, Inc.",25.44,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mitt^a
MITT^B,"AG Mortgage Investment Trust, Inc.",25.0096,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mitt^b
AGCO,AGCO Corporation,44.61,4327122222.69,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/agco
NCV,AGIC Convertible & Income Fund,8.781,666557596.356,n/a,1993,n/a,n/a,http://www.nasdaq.com/symbol/ncv
NCZ,AGIC Convertible & Income Fund II,8.08,510416371.44,n/a,2003,n/a,n/a,http://www.nasdaq.com/symbol/ncz
NIE,AGIC Equity & Convertible Income Fund,16.87,376271668.43,n/a,2007,n/a,n/a,http://www.nasdaq.com/symbol/nie
NGZ,AGIC Global Equity & Convertible Income Fund,12.89,90486807.47,n/a,2007,n/a,n/a,http://www.nasdaq.com/symbol/ngz
NAI,AGIC International & Premium Strategy Fund,9.44,94318504.48,n/a,2005,n/a,n/a,http://www.nasdaq.com/symbol/nai
A,"Agilent Technologies, Inc.",35.84,12488202137.6,n/a,1999,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/a
GAS,"AGL Resources, Inc.",37.7,4440389203.9,n/a,n/a,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/gas
AEM,Agnico-Eagle Mines Limited,55.3,9503254842.9,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/aem
ADC,Agree Realty Corporation,25.8,295049935.2,n/a,1994,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/adc
GRO,Agria Corporation,0.93,51506469,n/a,2007,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/gro
AGU,Agrium Inc.,100.14,14955927626.04,n/a,n/a,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/agu
AL,Air Lease Corporation,22.23,2250728301.51,n/a,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/al
APD,"Air Products and Chemicals, Inc.",81.94,17347225283.9,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/apd
AYR,Aircastle Limited,11.13,776249929.77,n/a,2006,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/ayr
ARG,"Airgas, Inc.",89.5,6990142425,n/a,1971,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/arg
AKS,AK Steel Holding Corporation,3.78,418184174.52,n/a,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/aks
ALP^N,Alabama Power Company,25.82,0,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/alp^n
ALP^O,Alabama Power Company,26.376,0,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/alp^o
ALP^P,Alabama Power Company,26.069,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/alp^p
ALG,"Alamo Group, Inc.",31.25,373911843.75,n/a,1993,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/alg
ALK,"Alaska Air Group, Inc.",41.81,2939834026.16,n/a,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/alk
AIN,Albany International Corporation,21.19,665366000,n/a,n/a,Basic Industries,Textiles,http://www.nasdaq.com/symbol/ain
ALB,Albemarle Corporation,56.41,5035149548.75,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/alb
ALU,Alcatel Lucent,1,2268370885,n/a,1989,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/alu
AA,Alcoa Inc.,8.27,8825760151.31,n/a,n/a,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/aa
ALR,Alere Inc.,17.67,1428773317.35,n/a,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/alr
ALR^B,Alere Inc.,190.84,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/alr^b
ALEX,"Alexander & Baldwin Holdings, Inc.",28.6,1225953757.6,n/a,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/alex
ALX,"Alexander&#39;s, Inc.",426.5,2177681704,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/alx
ARE,"Alexandria Real Estate Equities, Inc.",67.32,4287483026.64,n/a,1997,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/are
ARE^E,"Alexandria Real Estate Equities, Inc.",26.8676,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/are^e
Y,Alleghany Corporation,336.69,5704864922.61,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/y
ATI,Allegheny Technologies Incorporated,26.37,2829926374.47,n/a,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/ati
AGN,"Allergan, Inc.",90.92,27321541464.32,n/a,n/a,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agn
ALE,"Allete, Inc.",37.98,1475344114.2,n/a,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/ale
AKP,Alliance California Municipal Income Fund Inc,16,136669072,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/akp
AB,Alliance Capital Management Holding L.P.,17.99,1892068422.58,n/a,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/ab
ADS,Alliance Data Systems Corporation,140.35,6997247495,n/a,2001,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ads
AIQ,"Alliance HealthCare Services, Inc.",1.21,64021282.71,n/a,2001,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aiq
AFB,Alliance National Municipal Income Fund Inc,15.87,455624510.13,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/afb
AYN,Alliance New York Municipal Income Fund Inc,16.03,77438733.89,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/ayn
AOI,"Alliance One International, Inc.",3.09,270809577.6,n/a,1997,Consumer Services,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/aoi
AWF,Alliance World Dollar Government Fund II,15.5,1328214669.5,n/a,1993,n/a,n/a,http://www.nasdaq.com/symbol/awf
ACG,ALLIANCEBERNSTEIN INCOME FUND INC,8.61,2091469711.17,n/a,1987,n/a,n/a,http://www.nasdaq.com/symbol/acg
LNT,Alliant Energy Corporation,43.76,4856315973.92,n/a,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/lnt
ATK,Alliant Techsystems Inc.,59.4,1940338481.4,n/a,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/atk
AWH,"Allied World Assurance Company Holdings, AG",79.63,2806397462.21,n/a,2006,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/awh
ALSN,"Allison Transmission Holdings, Inc.",21.02,3839677134.98,n/a,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/alsn
ALL,Allstate Corporation (The),39.96,19251839769.12,n/a,1989,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/all
BSI,Alon Holdings - Blue Square Israel Ltd.,2.28,150849040.8,n/a,1996,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/bsi
ALJ,"Alon USA Energy, Inc.",13.88,850461314.52,n/a,2005,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/alj
ALDW,"Alon USA Partners, LP",18.85,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aldw
ANR,"Alpha Natural Resources, inc.",7.17,1580976374.49,n/a,2005,Energy,Coal Mining,http://www.nasdaq.com/symbol/anr
AGD,Alpine Global Dynamic Dividend Fund,5.17,129918574.06,n/a,2006,n/a,n/a,http://www.nasdaq.com/symbol/agd
AWP,Alpine Global Premier Properties Fund,6.99,615847435.32,n/a,2007,n/a,n/a,http://www.nasdaq.com/symbol/awp
AOD,Alpine Total Dynamic Dividend Fund,4.02,888542581.86,n/a,2007,n/a,n/a,http://www.nasdaq.com/symbol/aod
MO,Altria Group,32.86,66544985985.96,n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/mo
AWC,Alumina Ltd,3.42,2086367737.32,n/a,1997,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/awc
ACH,Aluminum Corporation of China Ltd,10.59,5728973063.85,n/a,1993,Basic Industries,Aluminum,http://www.nasdaq.com/symbol/ach
PLD,AMB Property Corporation,33.9,15624849000,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/pld
PLD^L,AMB Property Corporation,25.35,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pld^l
PLD^M,AMB Property Corporation,25.23,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pld^m
